das;Jahr;year;Jahre
das;Mal;time;Male
das;Beispiel;example;Beispiele
die;Zeit;time (hour);Zeiten
die;Frau;woman, wife, Mrs.;Frauen
der;Mensch;human being, man;Menschen
das;Deutsch;German;
das;Kind;child;Kinder
der;Tag;day;Tage
der;Mann;man;Männer
das;Land;land, country, state;Länder
die;Frage;question;Fragen
das;Haus;house;Häuser
der;Fall;fall, case;Fälle
die;Leute;people;
die;Arbeit;work;Arbeiten
das;Prozent;percent;Prozente
die;Hand;hand;Hände
die;Stadt;city, town;Städte
der;Herr;man, Mr.;Herren
der/das;Teil;part;Teile
das;Problem;problem;Probleme
die;Welt;world;Welten
das;Recht;right, law;Rechte
das;Ende;end;Enden
die;Million;million;Millionen
die;Schule;school;Schulen
die;Woche;week;Wochen
der;Vater;father;Väter
die;Seite;side, page;Seiten
das;Leben;life;Leben
die;Mutter;mother;Mütter
der;Grund;reason, basis;Gründe
das;Auge;eye;Augen
das;Wort;word;Wörter
das;Geld;money;Gelder
die;Art;type, kind;Arten
der;Bereich;area, region;Bereiche
der;Weg;path, way;Wege
die;Stunde;hour;Stunden
der;Name;name;Namen
die;Geschichte;history, story;Geschichten
die;Gesellschaft;society, company;Gesellschaften
der;Kopf;head;Köpfe
das;Paar;pair, couple;Paare
die;Möglichkeit;possibility;Möglichkeiten
das;Unternehmen;enterprise, company;Unternehmen
das;Bild;picture;Bilder
das;Buch;book;Bücher
das;Wasser;water;Wasser
die;Stelle;place;Stellen
die;Form;form, shape;Formen
die;Entwicklung;development;Entwicklungen
der;Monat;month;Monate
die;Familie;family;Familien
der;Morgen;morning;Morgen
der;Abend;evening;Abende
die;Aufgabe;task, assignment, job;Aufgaben
die;Universität;university;Universitäten
der;Sinn;sense, meaning;Sinne
der;Staat;state;Staaten
das;Ziel;destination, goal;Ziele
der;Freund;friend;Freunde
das;Thema;subject, topic, theme;Themen
die;Person;person;Personen
der;Euro;euro;Euro
die;Nacht;night;Nächte
das;Ding;thing;Dinge
der;Raum;room, space;Räume
der;Blick;look, view, glance;Blicke
der;Platz;place, room, square;Plätze
die;Zahl;number;Zahlen
das;System;system;Systeme
die;Uhr;clock, watch, o'clock;Uhren
die;Eltern;parents;
die;Straße;street;Straßen
die;Minute;minute;Minuten
die;Gruppe;group;Gruppen
der;Wert;value;Werte
das;Gesicht;face;Gesichter
die;Sprache;language;Sprachen
der;Anfang;beginning;Anfänge
der;Ort;place, town, location;Orte
der;Moment;moment;Momente
die;Folge;result, consequence;Folgen
das;Interesse;interest;Interessen
die;Milliarde;billion;Milliarden
die;Rolle;role;Rollen
die;Tür;door;Türen
der;Schüler;pupil, student;Schüler
die;Bedeutung;meaning, significance;Bedeutungen
der;Text;text;Texte
das;Ergebnis;result;Ergebnisse
der;Krieg;war;Kriege
die;Weise;way, manner;Weisen
die;Regierung;rule, government;Regierungen
das;Stück;piece;Stücke
die;Wohnung;apartment;Wohnungen
das;Gespräch;conversation;Gespräche
der;Meter;meter;Meter
der;Punkt;dot, point, period;Punkte
die;Situation;situation;Situationen
der;Lehrer;teacher;Lehrer
der;Preis;price, prize;Preise
die;Abbildung;illustration;Abbildungen
der;Begriff;concept, idea, term;Begriffe
die;Funktion;function;Funktionen
der;Boden;ground, floor, bottom;Böden
das;Jahrhundert;century;Jahrhunderte
der;Sohn;son;Söhne
das;Werk;work;Werke
die;Stimme;voice, vote;Stimmen
der;Rahmen;frame, framework;Rahmen
die;Richtung;direction;Richtungen
das;Programm;program;Programme
die;Angst;fear, anxiety;Ängste
die;Information;information;Informationen
die;Kunst;art;Künste
die;Musik;music;Musiken
die;Politik;politics;Politiken
der;Beruf;occupation, job, profession;Berufe
die;Regel;rule;Regeln
der;Schritt;step;Schritte
der;Absatz;sales, paragraph, heel;Absätze
der;Gott;god;Götter
das;Auto;automobile, car;Autos
die;Beziehung;relation, relationship;Beziehungen
die;Erfahrung;experience;Erfahrungen
der;Tisch;table;Tische
die;Zukunft;future;Zukünfte
das;Spiel;game;Spiele
das;Gefühl;feeling;Gefühle
das;Licht;light;Lichter
der;Präsident;president;Präsidenten
der;Markt;market;Märkte
die;Bank;bank, bench;Bänke
die;Partei;political party;Parteien
die;Tochter;daughter;Töchter
das;Verhältnis;relationship;Verhältnisse
die;Kirche;church;Kirchen
der;Film;film;Filme
der;Gedanke;thought;Gedanken
der;Doktor;doctor;Doktoren
das;Mädchen;girl;Mädchen
die;Entscheidung;decision;Entscheidungen
der;Prozess;trial, process;Prozesse
der;Betrieb;business, operation;Betriebe
der;Zusammenhang;connection, context;Zusammenhänge
das;Gesetz;law;Gesetze
der;Arm;arm;Arme
die;Firma;firm, company;Firmen
die;Kraft;strength, power;Kräfte
der;Student;student;Studenten
das;Zuhause;home;
die;Chance;chance;Chancen
die;Zeitung;newspaper;Zeitungen
der;Erfolg;success;Erfolge
die;Grenze;border, frontier;Grenzen
der;Satz;sentence;Sätze
das;Angebot;offer;Angebote
das;Internet;internet;
die;Kultur;culture;Kulturen
die;Lage;situation, location;Lagen
die;Leistung;performance;Leistungen
das;Mitglied;member;Mitglieder
das;Projekt;project;Projekte
das;Zimmer;room;Zimmer
der;Chef;head, leader, boss;Chefs
der;Zug;train;Züge
der;Arzt;physician, doctor;Ärzte
das;Auftreten;behavior, conduct, occurrence;
der;Fuß;foot;Füße
der;Körper;body;Körper
die;Klasse;class;Klassen
die;Lösung;solution;Lösungen
das;Verhalten;behavior;Verhalten
die;Höhe;height, altitude;Höhen
der;Junge;boy;Jungen
das;Fenster;window;Fenster
die;Luft;air;Lüfte
die;Meinung;opinion;Meinungen
die;Idee;idea;Ideen
das;Produkt;product;Produkte
das;Studium;study, studies;Studien
der;Vergleich;comparison;Vergleiche
das;Mittel;means;Mittel
das;Modell;model;Modelle
die;Natur;nature;Naturen
das;Bett;bed;Betten
der;Kunde;customer, client;Kunden
der;Mitarbeiter;employee, co-worker;Mitarbeiter
der;Tod;death;Tode
das;Geschäft;business;Geschäfte
der;Spaß;fun;Späße
die;Wirtschaft;economy, commerce;Wirtschaften
das;Tier;animal;Tiere
die;Bewegung;movement, motion;Bewegungen
der;Gast;guest;Gäste
die;Sicherheit;security, safety;Sicherheiten
der;Einsatz;inset, deployment;Einsätze
das;Gebiet;region, area;Gebiete
der;Dank;gratefulness;
das;Dorf;village;Dörfer
der;Kollege;colleague;Kollegen
die;Angabe;information, statement;Angaben
der;Bruder;brother;Brüder
die;Verfügung;disposal;Verfügungen
das;Fach;compartment, subject;Fächer
